title,context
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.207"")>","매입 서비스에 대한 자세한 내용이 궁금하시거나,판매 상담을 받으시려면 [Home > 차량관리서비스 > 매도&구매지원 > 중고차 > 내차팔기] 메뉴에서'내차 팔기 상담신청' 을 통해 상담신청을 하시면 친절하고 상세하게 안내해 드리겠습니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.218"")>","포인트는 블루멤버스 사이트 내에서 현금 처럼 사용 하실 수 있으며, 고객님께서 블루핸즈 서비스를 받으실 때도 현금처럼 지불 하실 수 있습니다"
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.229"")>",매도&구매지원 항목의 친환경 폐차 신청으로 들어가셔서 신청하시는 것이 가장 신속하고 정확합니다. 인터넷 신청이 불편하시면 유선전화 (1544-4113)로 문의하셔서 폐차 신청을 할 수 있습니다.
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.240"")>","차량 내부와 트렁크를 청결히 하시고, 차량 외관도 깨끗하게 세차 합니다. 이 때, 차량 외관의 작은 상처(기스)는 수리 후에 판매 하시는 것이 좋습니다. 또한 구매 후에 장착하신 옵션 등의 부품은 메이커 순정품일 경우, 가치 평가를 받으 실 때 유리하게 작용합니다. 이밖에 고객님이 차를 보유하시던 중에 특별히 신경써서 관리 하신 부분, 예를 들어 소모품의 정기적 교환, 차계부 정리, 비흡연, 시내 출퇴근용으로만 사용 등의 내 차만의 장점을 말씀해주시면 차량의 가치가 더욱 올라갑니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.251"")>","유카의 매입 서비스는 중고차의 합리적인 가치 산정에 대한 환금과 최단 소요 시간으로 고객님이 차량을 빠르고 안전하게 처리할 수 있도록 도와드리는 전문 서비스 입니다. 매입 서비스에 대한 자세한 내용이 궁금하시거나, 판매 상담을 받으시려면 [Home > 매도&구매지원 > 중고차 > 내차팔기] 메뉴에서 '내차 팔기 상담신청' 을 통해 상담신청을 하시거나 유카 고객센터인 1588-8289 로 전화주시면 친절하고 상세하게 안내해 드리겠습니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.262"")>",▶ 자동차 구입시 신용카드를 이용한 결제는 고객님 신용카드 한도내에서 희망하시는 금액     까지 자유로이 결제가 가능합니다.
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.273"")>","▶ 예, 가능합니다. 신용카드 갯수에 제한없이 결제가 가능합니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.284"")>","▶ 현대자동차 신차 구입 시 Hyundai Mobility카드를 이용하는 경우차량구매 대금 중 일부를 해당 포인트(20만/30만/50만)만큼 先할인해 드립니다先할인 받으신 금액은 이후 36개월 동안 고객님의 Hyundai Mobility카드 사용실적에 따라 적립되는포인트로 상환하시게 되며, 미상환하신 경우 익월 카드대금 청구 시 전액 청구됩니다.블루 세이브-오토 프로그램은 적용을 원하시는 고객께서 신청하시는 경우에만 적용되고이용기간 중 미상환하신 포인트에 대한 대금청구 시 이자는 부과되지 않습니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.295"")>","▶ 현행 자동차관련 세금항목은 다음과 같습니다.① 구입단계 : 개별소비세(8인승 이하 승용차限), 교육세(개소세의 30%), 부가가치세② 등록단계 : 등록세,취득세③ 소유단계 : 자동차세(연단위 부여)④ 유류관련 : 교통세, 주행세, 교육세, 부가가치세⑤ 기타 : 공채매입, 환경개선비용부담금(해당자동차限)"
"<selenium.webdriver.remote.webelement.WebElement (session=""72be07d2cc3767525dc94a419e16be47"", element=""f.82DAD21D09DE2F3258E156A3E294C32F.d.732CA04EB67536E1529CD5F9CDD242D7.e.306"")>","▶ 현재 저희 현대자동차에서는 중고차 보상판매 프로그램을 시행하고 있지 않습니다.따라서 현재 보유하고 계신 차량은 고객님께서 직접 처분을 하셔야 합니다.다만, 현대자동차그룹 계열사인 (주)글로비스에서 운영중인 현대/기아자동차 경매장(http://www.autowise.co.kr)을 통해 경매 대행서비스를 시행하고 있사오니 이곳의 이용을추천해 드립니다."
